generation, best_fitness, avg_fitness
0, 4571.121, 159337.97
1, 4571.057, 96186.266
2, 4481.5366, 83897.06
3, 2105.3838, 72454.555
4, 2105.2102, 61938.395
5, 1157.5123, 58516.355
6, 743.9938, 52723.39
7, 677.0197, 47885.02
8, 647.88727, 43033.637
9, 565.01447, 43471.188
10, 553.2395, 46558.805
11, 524.1894, 45651.152
12, 470.5018, 42659.633
13, 449.5586, 39420.207
14, 443.34396, 37194.285
15, 426.39325, 40119.01
16, 422.76822, 38490.875
17, 419.63446, 32937.965
18, 413.4295, 34675.734
19, 408.40344, 36560.484
