TestTime,Voltage_V,Current_mA
0,0.1116869,20.04
1,0.1869514,20.00
2,0.2262698,20.00
3,0.2815005,20.00
4,0.3636027,20.00
5,0.4300668,20.00
6,0.4837437,20.00
7,0.5293794,20.00
8,0.5671161,20.00
9,0.5999904,20.00
10,0.6278008,20.00
11,0.6538775,20.00
12,0.6759598,20.00
13,0.6754386,20.00
14,0.6633172,20.00
15,0.6617954,20.00
16,0.6612543,20.00
17,0.6604863,20.00
18,0.6591825,20.00
19,0.6596710,20.00
20,0.6570055,20.00
21,0.6560819,20.00
22,0.6546536,20.00
23,0.6556721,20.00
24,0.6533802,20.00
25,0.6526982,20.00
26,0.6532593,20.00
27,0.6522253,20.00
28,0.6511194,20.00
29,0.6526108,20.00
30,0.6520815,20.00
31,0.6512291,20.00
32,0.6515011,20.00
33,0.6532808,20.00
34,0.6490891,20.00
35,0.6497852,20.00
36,0.6508199,20.00
37,0.6504648,20.00
38,0.6508110,20.00
39,0.6505072,20.00
40,0.6510186,20.00
41,0.6509519,20.00
42,0.6509911,20.00
43,0.6503797,20.00
44,0.6501958,20.00
45,0.6506494,20.00
46,0.6498074,20.00
47,0.6483842,20.00
48,0.6491447,20.00
49,0.6481292,20.00
50,0.6487519,20.00
51,0.6493255,20.00
52,0.6472523,20.00
53,0.6481011,20.00
54,0.6482182,20.00
55,0.6469254,20.00
56,0.6479573,20.00
57,0.6470366,20.00
58,0.6488705,20.00
59,0.6484628,20.00
60,0.6484643,20.00
61,0.6477467,20.00
62,0.6496503,20.00
63,0.6483383,20.00
64,0.6473435,20.00
65,0.6477927,20.00
66,0.6465223,20.00
67,0.6469143,20.00
68,0.6486244,20.00
69,0.6476837,20.00
70,0.6473368,20.00
71,0.6465867,20.00
72,0.6486859,20.00
73,0.6474088,20.00
74,0.6474940,20.00
75,0.6459492,20.00
76,0.6486733,20.00
77,0.6480069,20.00
78,0.6483094,20.00
79,0.6463650,20.00
80,0.6470248,20.00
81,0.6479157,20.00
82,0.6484228,20.00
83,0.6481892,20.00
84,0.6473502,20.00
85,0.6457068,20.00
86,0.6464592,20.00
87,0.6455734,20.00
88,0.6466764,20.00
89,0.6461931,20.00
90,0.6480210,20.00
91,0.6456565,20.00
92,0.6457320,20.00
93,0.6448367,20.00
94,0.6468565,20.00
95,0.6484027,20.00
96,0.6470040,20.00
97,0.6447403,20.00
98,0.6467705,20.00
99,0.6480098,20.00
100,0.6482760,20.00
101,0.6474399,20.00
102,0.6474169,20.00
103,0.6469670,20.00
104,0.6476859,20.00
105,0.6483701,20.00
106,0.6482582,20.00
107,0.6472308,20.00
108,0.6455467,20.00
109,0.6465808,20.00
110,0.6457899,20.00
111,0.6463206,20.00
112,0.6468128,20.00
113,0.6459011,20.00
114,0.6462258,20.00
115,0.6467283,20.00
116,0.6472605,20.00
117,0.6467817,20.00
118,0.6475644,20.00
119,0.6472368,20.00
120,0.6468676,20.00
121,0.6466860,20.00
122,0.6458625,20.00
123,0.6478149,20.00
124,0.6477793,20.00
125,0.6464525,20.00
126,0.6481470,20.00
127,0.6473346,20.00
128,0.6465297,20.00
129,0.6458492,20.00
130,0.6464436,20.00
131,0.6459767,20.00
132,0.6454252,20.00
133,0.6470085,20.00
134,0.6455808,20.00
135,0.6464125,20.00
136,0.6477141,20.00
137,0.6503544,20.00
138,0.6494679,20.00
139,0.6485606,20.00
140,0.6486332,20.00
141,0.6482293,20.00
142,0.6471878,20.00
143,0.6469981,20.00
144,0.6477497,20.00
145,0.6468120,20.00
146,0.6467506,20.00
147,0.6467023,20.00
148,0.6474903,20.00
149,0.6469996,20.00
150,0.6480485,20.00
151,0.6481767,20.00
152,0.6467950,20.00
153,0.6471878,20.00
154,0.6472968,20.00
155,0.6480314,20.00
156,0.6482078,20.00
157,0.6471938,20.00
158,0.6477112,20.00
159,0.6477660,20.00
160,0.6487786,20.00
161,0.6478446,20.00
162,0.6491773,20.00
163,0.6493997,20.00
164,0.6474814,20.00
